x,y


-0.286,3.866
0.126,3.587
-0.11,3.13
0.007,2.919
0.181,2.386
0.144,2.009
0.521,1.61
0.931,1.417
1.346,1.231
1.618,1.154
2.056,0.923
2.687,0.943
3.097,0.904
3.456,1.114
3.781,1.258
4.235,1.544
4.218,1.961
4.395,2.37
4.442,2.826
4.276,3.15
4.27,3.511
4.214,3.831
3.551,4.028
2.865,3.949
2.616,3.72
2.387,3.406
2.336,2.938
2.584,2.608
3.062,2.844
2.91,2.901
2.942,2.87
2.937,2.883
2.941,2.872
2.931,2.896
2.924,2.883
2.924,2.882
2.933,2.873
2.927,2.876
2.912,2.894
2.93,2.869
2.92,2.898
2.933,2.883
2.936,2.872
2.919,2.883
2.927,2.884
2.938,2.874
2.942,2.881
2.937,2.885
2.914,2.897
2.938,2.864
2.919,2.88
2.953,2.898
2.94,2.894
2.943,2.885
2.946,2.899
2.959,2.887
2.939,2.898
2.946,2.891
2.943,2.88
2.938,2.892
2.942,2.889
2.94,2.896
2.933,2.884
2.937,2.881
2.937,2.894
2.946,2.893
2.949,2.882
2.943,2.882
2.941,2.886
2.933,2.88
2.941,2.892
2.947,2.891
2.929,2.892
2.949,2.888
2.947,2.877
2.94,2.881
2.941,2.881
2.95,2.896
2.949,2.876
2.928,2.871
