bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3174,2.5278,0.032796341259354114,0.0001
usafabot1,1.9978,2.5382,0.03826329834188349,0.0001
usafabot2,1.582,2.5202,0.027056237728109955,0.0002
usafabot3,1.2786,2.7714,0.0302641702347842,0.0001
usafabot4,1.2912,2.2603999999999997,0.013623509092741015,0.0
usafabot5,0.9772,3.0208,0.030862274705536517,0.0
usafabot6,0.9725999999999999,2.5128,0.030242354405700674,0.0001
usafabot7,1.1188,1.9796,0.12053879043693777,0.0001
usafabot8,1.998,3.0356,0.03565613551690656,0.0014
usafabot9,2.3074,3.0314,0.032260192187896324,0.0001
usafabot10,2.6188,3.0263999999999998,0.03240987503832707,0.0
usafabot11,3.026,3.0263999999999998,0.0370534748707861,0.0001
usafabot12,3.3262,3.0216,0.03395585369269936,0.0003
usafabot13,3.6374,3.026,0.045549533477303374,0.0001
usafabot14,4.036,3.0232,0.04282802820583707,0.0
usafabot15,4.0482000000000005,2.0022,0.04825018134680994,0.0
usafabot16,4.0392,2.5124,0.04111447433690486,0.0
usafabot17,4.6488000000000005,2.0025999999999997,0.048869213212410945,0.0001
usafabot18,4.6368,3.017,0.04053689677318708,0.0002
usafabot19,3.6514,2.0021999999999998,0.05144706016868224,0.0001
usafabot20,3.3364000000000003,2.5178,0.04051913128387657,0.0
usafabot21,3.3522000000000003,2.002,0.052238300125483104,0.0001
usafabot22,3.0326,2.5202,0.03835101041693683,0.0001
usafabot23,3.049,2.0018,0.0490330500784929,0.0
usafabot24,2.0014,2.0,0.0013999999999998458,0.0001
