bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3047500000000003,2.5,27.715570940583202,0.0001
usafabot1,2.004,2.5,27.930091585957964,0.0002
usafabot2,1.6035,2.5,28.218207105519657,0.0004
usafabot3,1.3014999999999999,2.75,28.2664182777019,0.0001
usafabot4,1.30125,2.25,28.609452136706498,0.0001
usafabot5,1.00475,3.0,28.31608240139338,0.0001
usafabot6,1.0045,2.5,28.654162354708607,0.0
usafabot7,1.00325,2.0,28.997646638348083,0.0
usafabot8,2.00425,3.0,27.583147355994384,0.0001
usafabot9,2.3045,3.0,27.366269754023836,0.0
usafabot10,2.602,3.0,27.15294466535812,0.0001
usafabot11,3.0045,3.0,26.866875893002522,0.0
usafabot12,3.3045,3.0,26.655613297202525,0.0001
usafabot13,3.6014999999999997,3.0,26.44815309714461,0.0004
usafabot14,4.00275,3.0,26.170613434967475,0.0001
usafabot15,4.0032499999999995,2.0,26.90507406721825,0.0002
usafabot16,4.0024999999999995,2.5,26.536013382759666,0.0001
usafabot17,4.60375,2.0,26.50715967550088,0.0001
usafabot18,4.60375,3.0,25.761007629021424,0.0001
usafabot19,3.60175,2.0,27.175275583929228,0.0001
usafabot20,3.3047500000000003,2.5,27.01411432126732,0.0
usafabot21,3.30275,2.0,27.378589400524273,0.0001
usafabot22,3.00475,2.5,27.222592135255965,0.0001
usafabot23,3.003,2.0,27.5841622856305,0.0
usafabot24,2.00275,2.0,28.28232677066192,0.0001
