bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3166,2.5284,0.03289559240992647,0.0001
usafabot1,1.9972,2.5386,0.03870142116253632,0.0
usafabot2,1.5762,2.5268,0.03584243295313545,0.0005
usafabot3,1.276,2.773,0.03324154027718943,0.0001
usafabot4,1.2926,2.257,0.010186265262597608,0.0
usafabot5,0.9773999999999999,3.0206,0.030579731849707265,0.0001
usafabot6,0.9762,2.5126,0.026929537686339895,0.0
usafabot7,1.284,1.9858,0.2843547784019112,0.0
usafabot8,1.9974,3.0376000000000003,0.03768978641488994,0.0
usafabot9,2.301,3.0,0.001000000000000334,0.0
usafabot10,2.6151999999999997,3.0272,0.031158947350640648,0.0002
usafabot11,3.021,3.024,0.031890437438203904,0.0002
usafabot12,3.3242,3.022,0.032705351244100574,0.0
usafabot13,3.6316,3.0234,0.03932073244485673,0.0002
usafabot14,4.0286,3.019,0.03433598695246727,0.0002
usafabot15,4.0414,2.0022,0.04145841289774643,0.0001
usafabot16,4.0396,2.5118,0.04132069699315353,0.0
usafabot17,4.6416,2.003,0.04170803279945079,0.0
usafabot18,4.6278,3.0146,0.03140063693621528,0.0
usafabot19,3.6368,2.004,0.03701675296402962,0.0002
usafabot20,3.329,2.5146,0.032467830232401206,0.0003
usafabot21,3.3394,2.003,0.03951404813480908,0.0001
usafabot22,3.0298,2.5196,0.035667912750818376,0.0002
usafabot23,3.042,2.0024,0.042068515543099275,0.0004
usafabot24,1.9988,2.004,0.00417612260356425,0.0001
