bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3158,2.528,0.03215027216058991,7.110800288501196e-05
usafabot1,1.9976,2.5374,0.0374769262346846,5.3471001592697576e-05
usafabot2,1.5762,2.5284,0.03705401462729782,5.9976999182254076e-05
usafabot3,1.2776,2.7746,0.03327040727132742,4.6143999497871846e-05
usafabot4,1.2874,2.2594,0.015720050890502737,4.514300235314295e-05
usafabot5,0.9773999999999999,3.0232,0.032388269481403414,0.00011965000157942995
usafabot6,0.972,2.5146,0.03157784033147305,4.264500239514746e-05
usafabot7,1.0786,1.9986,0.07861246720463619,8.255399734480307e-05
usafabot8,1.9976,3.0392,0.03927340066762757,0.0013564269975177012
usafabot9,2.301,3.0,0.001000000000000334,1.9342998712090775e-05
usafabot10,2.6178,3.0278,0.033010301422434725,5.3470001148525625e-05
usafabot11,3.0204,3.0228,0.030594117081556804,5.235799835645594e-05
usafabot12,3.3308,3.0265999999999997,0.04069643719049612,4.9542999477125704e-05
usafabot13,3.6316,3.023,0.039084012076551336,9.667099948273972e-05
usafabot14,4.0312,3.021,0.03760904146611561,0.0032952410001598764
usafabot15,4.04,2.004,0.0401995024844836,6.505199780804105e-05
usafabot16,4.0378,2.5108,0.03931259340211468,5.2318999223643914e-05
usafabot17,4.6376,2.0034,0.0377534104419723,8.89410002855584e-05
usafabot18,4.6312,3.0166,0.035341194094144664,8.543000149074942e-05
usafabot19,3.6386,2.003,0.03871640479176729,8.7546999566257e-05
usafabot20,3.3284000000000002,2.5152,0.03221179908046161,4.30430009146221e-05
usafabot21,3.3412,2.0026,0.04128195731793769,4.304899994167499e-05
usafabot22,3.031,2.5206,0.03722042450053474,0.00012417399921105243
usafabot23,3.0378,2.0036,0.037971041597512016,3.936199937015772e-05
usafabot24,2.0272,2.0276,0.03875048386794686,3.526599903125316e-05
