bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,22,-0.0162,22,2.2016,29.60894636760991,0.00038433700683526695
usafabot1,22,-0.0162,22,2.401,29.475987912875798,0.0004827840020880103
usafabot2,22,-0.0162,22,2.6012,29.343253123673932,0.0005524529988178983
usafabot3,22,-0.016,22,2.8018,29.210873647325236,0.0006136220035841689
usafabot4,22,-0.016,22,3.2016,28.949682184093145,0.0006855609972262755
usafabot5,22,-0.0162,22,3.401,28.820754040101033,0.0007519009959651157
usafabot6,22,-0.0164,22,3.6012,28.692119308269998,0.0009783169953152537
usafabot7,22,-0.016,22,3.8016,28.563718570242212,0.0010671589989215136
usafabot8,22,2.3838,22,6.001,25.313302894723158,0.0011439000081736594
usafabot9,22,2.5838,22,6.001,25.158633179089836,0.001236465002875775
usafabot10,22,2.7838,22,6.002,25.00396661411945,0.0013060789933661
usafabot11,22,3.1836,22,6.002,24.69803459710914,0.0013722389994654804
usafabot12,22,3.3838,22,6.001,24.546504912919882,0.001445832007448189
usafabot13,22,2.867,22,4.800800000000001,25.727109624674124,0.001516143005574122
usafabot14,22,3.7838,22,6.002,24.243884722543953,0.0016251440101768821
usafabot15,22,4.787,22,2.7216,25.844614053222,0.0017081699916161597
usafabot16,22,5.9836,22,3.202,24.695948513065865,0.0017794230079744011
usafabot17,22,5.9836,22,2.802,25.00176539686748,0.001848354993853718
usafabot18,22,4.7867999999999995,22,2.0816,26.325594253501666,0.001915608998388052
usafabot19,22,2.867,22,0.0016,29.154781624289352,0.001990810997085646
usafabot20,22,2.707,22,0.0016,29.260031639764165,0.0020628390047932044
usafabot21,22,2.5468,22,0.0016,29.365908683369565,0.0021366369910538197
usafabot22,22,2.227,22,0.0016,29.578727686633176,0.002210232996731065
usafabot23,22,2.067,22,0.0016,29.685924131817085,0.0022760350111639127
usafabot24,22,1.907,22,0.0016,29.793594136324003,0.0023511000035796314
