bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,22,-0.008,22,2.201,29.603250919451398,0.0008174450049409643
usafabot1,22,-0.008,22,2.4,29.470528736349472,0.0015826849994482473
usafabot2,22,-0.008,22,2.6,29.337894675657964,0.0019163369870511815
usafabot3,22,-0.008,22,2.801,29.205370482156187,0.002196779998484999
usafabot4,22,-0.008,22,3.201,28.943988408648867,0.002496035012882203
usafabot5,22,-0.008,22,3.4,28.815136022583687,0.0033078209962695837
usafabot6,22,-0.008,22,3.6,28.68644390648656,0.0036983419995522127
usafabot7,22,-0.0078000000000000005,22,3.801,28.557781108482498,0.003964934992836788
usafabot8,22,2.392,22,6.0002,25.307454712791646,0.004203655000310391
usafabot9,22,2.592,22,6.0004,25.152687016698636,0.0052090699900873005
usafabot10,22,2.792,22,6.001,24.99830524255594,0.005559050987358205
usafabot11,22,3.192,22,6.001,24.692283511251038,0.005841418998898007
usafabot12,22,3.392,22,6.0006,24.540547352493995,0.00694319698959589
usafabot13,22,3.592,22,6.0004,24.389376051059614,0.007246182998642325
usafabot14,22,3.792,22,6.001,24.23838412518458,0.008238554990384728
usafabot15,22,5.992,22,3.401,24.5393330186458,0.008603009991929866
usafabot16,22,4.7936,22,2.5608,25.96040634504784,0.008895186998415738
usafabot17,22,4.7936,22,2.2408,26.200881389754812,0.009230333002051339
usafabot18,22,4.7936,22,2.0808,26.321753923323577,0.009525860994472168
usafabot19,22,2.8736,22,0.0008,29.15105448521545,0.010498668998479843
usafabot20,22,2.7136,22,0.0008,29.256281814338607,0.010798244999023154
usafabot21,22,2.5536000000000003,22,0.0008,29.362003909815144,0.0167807950056158
usafabot22,22,2.2336,22,0.0008,29.574911151176767,0.01749227500113193
usafabot23,22,2.0736,22,0.0008,29.682085802719456,0.01863206700363662
usafabot24,22,1.9136,22,0.0008,29.78973423177857,0.01947171799838543
