bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3032,2.5,27.716672423651435,0.0001
usafabot1,2.0014,2.5,27.931953063829962,0.0001
usafabot2,1.6032,2.5,28.218423950320116,0.0002
usafabot3,1.304,2.75,28.264587667256002,0.0003
usafabot4,1.3038,2.25,28.6076072826792,0.0001
usafabot5,1.0044,3.0,28.3163419134605,0.0001
usafabot6,1.0042,2.5,28.654382171667912,0.0004
usafabot7,1.0024,2.0,28.998262116202756,0.0002
usafabot8,2.0014,3.0,27.585213465913217,0.0001
usafabot9,2.303,3.0,27.367349323600923,0.0001
usafabot10,2.6048,3.0,27.150944422616316,0.0002
usafabot11,3.003,3.0,26.867936448488187,0.0001
usafabot12,3.3028,3.0,26.656805657092523,0.0
usafabot13,3.6048,3.0,26.44585757807827,0.0
usafabot14,4.002,3.0,26.171129207582926,0.0002
usafabot15,4.0047999999999995,2.0,26.90403730000388,0.0001
usafabot16,4.002,2.5,26.536352499919804,0.0001
usafabot17,4.6032,2.0,26.507520635472492,0.0
usafabot18,4.603,3.0,25.761514105347146,0.0
usafabot19,3.6042,2.0,27.17361694070188,0.0001
usafabot20,3.3032,2.5,27.015187029521005,0.0001
usafabot21,3.3028,2.0,27.378555254797504,0.0012
usafabot22,3.003,2.5,27.22381327073781,0.0002
usafabot23,3.0028,2.0,27.58430002447044,0.0
usafabot24,2.002,2.0,28.282857069256636,0.0001
