bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3146,2.5276,0.03122370894048317,0.0001
usafabot1,1.9978,2.5364,0.036466422912043335,0.0001
usafabot2,1.5804,2.5228,0.030066592756745975,0.0002
usafabot3,1.2768,2.7714,0.03156263613832025,0.0001
usafabot4,1.294,2.257,0.00921954445729298,0.0005
usafabot5,0.975,3.0226,0.033701038559664734,0.0001
usafabot6,0.97,2.5148,0.03345205524328821,0.0001
usafabot7,1.2682,1.9802,0.2689298793366033,0.0001
usafabot8,1.998,3.0368,0.03685430775363982,0.0001
usafabot9,2.3068,3.0296,0.03037103883636503,0.0
usafabot10,2.617,3.0286,0.03327100840070819,0.0001
usafabot11,3.0222,3.0254,0.033734255586866047,0.0001
usafabot12,3.324,3.0223999999999998,0.03282925524589295,0.0001
usafabot13,3.631,3.0228,0.03848168395483737,0.0001
usafabot14,4.0292,3.02,0.03539265460515812,0.0
usafabot15,4.0392,2.0042,0.03942435795292055,0.0002
usafabot16,4.04,2.5122,0.04181913437650285,0.0001
usafabot17,4.6388,2.0036,0.03896665240946435,0.0
usafabot18,4.6302,3.0158,0.034083427057736454,0.0
usafabot19,3.6396,2.0028,0.039698866482558506,0.0
usafabot20,3.3272,2.514,0.030591502087998233,0.0001
usafabot21,3.3398,2.0036,0.03996248240537623,0.0001
usafabot22,3.0303999999999998,2.5198,0.03627947077894035,0.0
usafabot23,3.042,2.0024,0.042068515543099275,0.0001
usafabot24,2.001,2.0,0.0009999999999998899,0.0
