bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot02.3012.527.7182358926393420.0001
usafabot12.0012.527.9322394555109030.0001
usafabot21.6012.528.2200141920587980.0002
usafabot31.3012.7528.2667844120975320.0006
usafabot41.3012.2528.6096330105787970.0001
usafabot51.0013.028.3188629891809040.0001
usafabot61.0012.528.6567269764011950.0001
usafabot71.0012.028.999275870269590.0001
usafabot82.0013.027.585503457432130.0002
usafabot92.3013.027.368788811344940.0001
usafabot102.6013.027.1536590720293170.0001
usafabot113.0013.026.8693505876118980.0001
usafabot123.3013.026.6580682158328950.0002
usafabot133.6013.026.4485009216023420.0001
usafabot144.0013.026.1718169220251120.0002
usafabot154.0012.026.9065791396825450.0009
usafabot164.0012.526.537030749501720.0001
usafabot174.6012.026.508964540321070.0001
usafabot184.6013.025.762864766947020.0001
usafabot193.6012.027.1757833557746760.0001
usafabot203.3012.527.01670966272540.0002
usafabot213.3012.027.379784531657660.0001
usafabot223.0012.527.2252089248181870.0001
usafabot233.0012.027.5855397083326960.0001
usafabot242.0012.028.283564149519770.0001
