x,y


-0.544,4.443
0.099,4.294
0.611,3.971
0.93,3.699
1.063,3.301
1.456,3.078
1.783,2.804
2.07,2.578
2.223,2.443
2.241,2.445
2.305,2.4
2.304,2.372
2.288,2.406
2.3,2.388
2.303,2.393
2.292,2.411
2.274,2.32
2.276,2.332
2.287,2.342
2.266,2.322
2.276,2.373
2.3,2.333
2.293,2.331
2.285,2.299
2.289,2.353
2.295,2.308
2.308,2.294
2.297,2.325
2.309,2.314
2.257,2.389
2.271,2.338
2.283,2.335
2.265,2.321
2.271,2.333
2.271,2.324
2.285,2.352
2.293,2.32
2.292,2.371
2.278,2.334
2.278,2.326
2.285,2.345
2.296,2.34
2.285,2.332
2.297,2.331
2.289,2.332
2.274,2.342
2.273,2.324
2.285,2.347
2.286,2.324
2.274,2.341
2.282,2.325
2.28,2.334
2.28,2.335
