x,y


-0.112,0.677
0.05,0.666
0.095,0.594
-0.354,0.656
0.014,0.523
-0.424,0.555
-0.202,0.626
-0.101,0.547
-0.757,0.447
-0.055,0.524
-0.635,0.377
-0.191,0.599
0.717,0.908
0.602,0.872
0.657,0.503
0.847,0.549
0.731,0.396
0.609,0.532
0.669,0.442
0.389,0.295
0.523,0.314
0.595,0.38
0.507,0.079
0.376,0.456
0.55,0.263
0.246,0.349
0.235,0.238
0.189,0.283
0.304,0.245
0.339,0.396
0.316,0.286
0.452,0.093
1.454,1.248
3.091,2.092
3.325,2.638
3.336,2.638
3.679,2.66
3.325,2.561
3.382,2.601
3.382,2.55
3.708,2.627
3.446,2.53
3.369,2.644
3.384,2.525
3.646,2.665
3.48,2.595
3.334,2.652
3.422,2.614
2.882,2.592
3.01,2.498
3.204,2.555
2.902,2.493
3.097,2.554
3.089,2.623
3.112,2.609
3.062,2.629
3.078,2.627
3.079,2.622
3.102,2.629
3.114,2.618
3.065,2.544
3.082,2.569
3.082,2.572
3.091,2.586
3.087,2.577
3.087,2.563
3.088,2.565
3.094,2.568
3.09,2.57
3.085,2.568
3.087,2.567
3.092,2.568
3.089,2.567
3.087,2.573
3.083,2.568
3.093,2.567
3.088,2.564
3.095,2.581
3.093,2.569
3.088,2.567
3.124,2.561
3.091,2.578
3.126,2.539
3.111,2.566
3.081,2.58
3.092,2.564
3.105,2.542
3.101,2.557
3.099,2.557
3.099,2.561
3.115,2.525
3.095,2.552
3.103,2.589
3.097,2.55
3.094,2.557
3.092,2.56
3.093,2.566
3.096,2.562
3.1,2.563
3.099,2.567
3.097,2.56
3.096,2.566
3.098,2.554
3.086,2.573
3.101,2.566
3.092,2.565
3.093,2.569
3.097,2.554
3.099,2.554
3.089,2.576
3.098,2.562
3.105,2.57
3.101,2.556
3.095,2.571
3.097,2.566
3.098,2.567
3.089,2.572
3.103,2.559
3.112,2.577
3.09,2.563
3.094,2.556
3.089,2.565
3.09,2.564
3.097,2.56
3.092,2.562
3.092,2.564
3.093,2.57
3.094,2.562
3.099,2.558
3.095,2.552
3.1,2.556
3.095,2.559
