x,y


-0.168,1.515
0.141,1.579
0.514,1.788
0.884,1.947
1.253,2.159
1.671,2.287
2.04,2.469
2.391,2.52
2.333,2.592
2.336,2.583
2.367,2.549
2.345,2.577
2.342,2.567
2.341,2.598
2.339,2.561
2.353,2.568
2.354,2.551
2.351,2.583
2.37,2.561
2.348,2.584
2.35,2.566
2.329,2.568
2.37,2.558
2.355,2.576
2.336,2.581
2.369,2.55
2.351,2.587
2.356,2.564
2.369,2.555
2.362,2.553
2.34,2.603
2.361,2.562
2.357,2.578
2.349,2.576
2.347,2.563
2.345,2.574
2.359,2.548
2.337,2.577
2.342,2.569
2.351,2.566
2.345,2.586
2.353,2.571
2.347,2.585
2.369,2.577
2.339,2.599
2.353,2.596
2.364,2.593
2.364,2.578
2.355,2.588
2.374,2.589
2.369,2.573
2.356,2.601
2.364,2.589
2.372,2.6
2.334,2.587
2.365,2.588
2.356,2.58
2.344,2.582
2.361,2.6
2.361,2.588
2.356,2.571
2.353,2.576
2.352,2.578
2.361,2.587
2.375,2.572
2.344,2.576
2.368,2.557
2.337,2.593
2.381,2.568
2.382,2.593
2.459,2.714
2.41,2.752
2.405,2.668
2.355,2.619
2.394,2.586
2.351,2.605
2.369,2.619
2.352,2.571
2.392,2.593
2.359,2.596
2.364,2.59
2.346,2.607
2.369,2.585
2.388,2.635
2.371,2.615
2.383,2.62
2.376,2.622
2.385,2.632
2.387,2.62
2.39,2.632
2.387,2.614
2.363,2.615
2.374,2.621
2.384,2.606
2.387,2.604
2.382,2.636
2.389,2.606
2.378,2.611
2.37,2.632
2.385,2.627
2.388,2.663
2.378,2.62
2.378,2.627
2.392,2.616
2.4,2.605
2.374,2.6
2.377,2.618
2.382,2.612
2.399,2.605
2.388,2.579
2.409,2.586
2.381,2.588
2.383,2.632
2.371,2.632
2.446,2.55
2.418,2.593
2.407,2.574
2.4,2.591
2.376,2.623
2.382,2.632
2.39,2.599
2.369,2.626
2.389,2.618
2.366,2.623
2.4,2.621
2.371,2.643
2.383,2.631
2.401,2.633
2.409,2.62
2.402,2.62
2.385,2.651
2.392,2.616
2.403,2.636
2.326,2.657
2.41,2.604
2.402,2.616
2.388,2.625
2.384,2.613
2.387,2.618
2.374,2.613
2.41,2.599
2.379,2.67
2.374,2.642
2.367,2.616
2.393,2.633
2.374,2.61
2.381,2.601
2.408,2.604
2.39,2.653
2.392,2.641
2.371,2.617
2.398,2.606
2.406,2.633
2.39,2.631
2.398,2.649
2.391,2.665
2.381,2.63
2.393,2.63
2.372,2.627
2.39,2.617
2.399,2.635
2.398,2.643
2.379,2.649
2.373,2.633
2.396,2.631
2.388,2.614
2.39,2.62
2.404,2.632
2.39,2.633
2.364,2.638
2.405,2.638
2.373,2.61
2.364,2.61
2.389,2.626
2.388,2.618
2.397,2.622
2.395,2.627
2.377,2.626
2.391,2.643
2.395,2.609
2.357,2.627
2.397,2.635
2.399,2.612
2.387,2.643
2.393,2.622
2.396,2.618
2.38,2.626
2.385,2.63
2.417,2.616
2.381,2.636
2.394,2.615
2.386,2.635
2.391,2.62
2.375,2.645
2.39,2.627
2.387,2.628
2.401,2.627
2.386,2.645
2.386,2.63
2.367,2.659
2.404,2.621
2.352,2.642
