x,y


-0.299,0.395
0.025,0.502
0.411,1.029
0.674,1.218
0.875,1.516
1.309,1.712
1.466,2.042
1.81,2.437
1.903,2.719
1.76,3.046
1.671,3.048
1.67,3.039
1.687,2.898
1.719,2.779
1.617,2.859
1.627,2.898
1.668,3.146
1.71,3.077
1.781,2.88
1.963,3.105
1.942,2.91
1.963,2.967
1.939,2.95
1.928,2.968
1.922,2.979
1.958,2.944
1.944,2.94
1.937,2.962
1.938,2.955
1.918,2.961
1.956,2.944
1.938,2.947
1.926,2.946
1.946,2.936
1.955,2.932
1.922,2.941
1.948,2.935
1.952,2.935
1.942,2.94
1.944,2.972
1.944,2.946
1.942,2.971
1.941,2.953
1.955,2.938
1.932,2.941
1.931,2.965
1.957,2.918
1.931,2.963
1.93,2.96
1.943,2.945
1.934,2.961
1.929,2.963
1.944,2.942
1.935,2.953
1.933,2.925
1.933,2.965
1.942,2.959
1.936,2.956
1.931,2.943
1.94,2.961
1.943,2.918
1.943,2.903
1.93,2.923
1.945,2.897
1.93,2.913
1.93,2.912
1.944,2.906
1.951,2.902
1.941,2.915
1.945,2.899
1.935,2.911
1.93,2.911
1.92,2.924
1.938,2.92
1.927,2.922
1.932,2.919
1.933,2.901
1.937,2.904
1.951,2.902
1.924,2.918
1.945,2.89
1.915,2.93
1.944,2.908
1.941,2.908
1.942,2.899
1.952,2.892
1.94,2.908
1.938,2.9
1.94,2.909
1.935,2.9
1.95,2.9
1.946,2.911
1.929,2.916
1.922,2.93
1.936,2.915
1.956,2.888
1.938,2.901
1.912,2.942
1.925,2.906
1.925,2.918
1.936,2.904
1.926,2.923
1.952,2.899
1.919,2.914
