x,y


0.557,5.039
0.458,5.027
0.493,5.027
0.486,5.003
0.489,5.18
0.513,4.914
0.497,5.117
0.731,5.263
0.709,4.74
0.598,4.583
0.686,4.04
0.995,3.954
1.499,3.496
1.099,3.277
1.174,3.321
1.547,3.296
1.729,3.479
1.606,3.226
1.601,3.374
1.686,3.616
1.642,3.585
1.655,3.287
1.884,3.219
1.724,3.267
1.59,3.242
2.0,3.061
1.995,2.929
2.26,2.939
2.135,3.092
1.852,3.099
2.029,2.829
1.924,2.976
1.926,2.921
1.97,2.982
1.967,2.98
1.956,2.973
1.963,2.983
1.962,2.971
1.955,2.968
1.964,2.97
1.963,2.961
1.954,2.985
1.965,2.963
1.988,2.965
1.961,2.964
1.949,2.967
1.954,2.962
1.952,2.958
1.955,2.944
1.948,2.953
1.956,2.95
1.953,2.951
1.954,2.948
1.958,2.949
2.012,3.106
1.931,3.085
1.972,2.962
1.975,3.009
1.933,2.928
1.947,2.948
1.965,2.96
1.943,2.953
1.959,2.949
2.013,2.877
2.001,2.964
1.191,3.324
1.541,2.936
1.487,2.994
1.513,3.001
1.496,2.975
1.494,2.981
1.51,2.976
1.498,2.979
1.506,2.978
1.494,2.972
1.489,2.974
1.503,2.977
1.491,2.979
1.497,2.973
1.484,2.974
1.501,2.973
1.496,2.97
1.497,2.976
1.493,2.967
1.492,2.969
1.493,2.977
1.5,2.978
1.494,2.976
1.495,2.983
1.49,2.976
1.493,2.973
1.498,2.983
1.48,2.968
1.5,2.965
1.5,2.981
1.487,2.972
1.489,2.97
1.504,2.97
1.497,2.965
1.498,2.974
1.492,2.968
1.489,2.964
1.497,2.975
1.497,2.97
1.494,2.972
1.5,2.97
1.506,2.982
1.498,2.983
1.497,2.971
1.488,2.979
1.497,2.974
1.502,2.975
1.504,2.976
1.489,2.982
1.498,2.978
1.495,2.966
1.493,2.973
1.493,2.974
1.497,2.981
1.488,2.962
1.492,2.974
1.493,2.978
1.503,2.964
1.5,2.988
1.505,2.972
1.501,2.978
1.486,2.978
1.487,2.971
1.499,2.972
1.5,2.981
1.498,2.978
1.492,2.962
1.497,2.97
1.504,2.973
1.503,2.983
1.489,2.967
1.495,2.988
1.488,2.973
1.494,2.975
1.499,2.969
1.499,2.978
1.493,2.97
1.494,2.988
1.507,2.979
1.499,2.975
1.492,2.978
1.494,2.969
1.492,2.97
1.497,2.981
