x,y


0.077,2.46
0.399,2.445
0.788,2.187
1.142,2.067
1.581,2.016
1.918,1.899
1.902,1.892
1.905,1.907
1.904,1.887
1.912,1.899
1.909,1.919
1.918,1.824
1.922,1.835
1.923,1.837
1.933,1.846
1.933,1.821
1.905,1.861
1.908,1.852
1.922,1.817
1.919,1.836
1.928,1.831
1.914,1.833
1.923,1.831
1.919,1.838
1.927,1.848
1.919,1.867
1.935,1.809
1.924,1.847
1.945,1.823
1.92,1.85
1.94,1.839
1.933,1.814
1.938,1.822
1.913,1.85
1.926,1.832
1.922,1.853
1.919,1.885
1.929,1.818
1.95,1.8
1.934,1.794
1.922,1.831
1.912,1.871
1.918,1.862
1.911,1.836
1.926,1.839
1.913,1.871
1.934,1.84
1.932,1.812
1.927,1.841
1.935,1.845
1.939,1.832
1.914,1.868
1.934,1.818
1.924,1.84
1.892,1.817
1.833,1.867
1.87,1.871
1.854,1.892
1.904,1.866
1.857,1.899
1.88,1.849
1.905,1.858
1.892,1.858
1.88,1.871
1.889,1.782
1.878,1.816
1.915,1.844
1.924,1.827
1.923,1.831
1.927,1.829
1.916,1.833
1.921,1.825
1.919,1.84
1.913,1.829
1.923,1.822
1.928,1.84
1.921,1.847
1.934,1.847
1.914,1.821
1.926,1.829
1.927,1.821
1.926,1.834
1.919,1.829
1.944,1.86
1.912,1.872
1.926,1.821
1.942,1.787
1.91,1.88
1.938,1.841
1.916,1.835
1.936,1.828
1.918,1.843
1.918,1.836
1.923,1.832
1.916,1.832
1.92,1.834
1.926,1.828
1.919,1.826
1.92,1.836
1.922,1.837
1.921,1.831
1.932,1.831
1.924,1.842
1.918,1.842
1.925,1.848
1.926,1.843
1.925,1.826
1.923,1.839
1.93,1.829
1.918,1.825
1.926,1.84
1.92,1.84
1.918,1.837
1.924,1.832
1.922,1.824
1.927,1.835
1.914,1.838
1.929,1.825
1.923,1.826
1.933,1.841
1.928,1.828
1.929,1.83
1.929,1.843
1.919,1.835
1.928,1.828
1.922,1.841
1.931,1.837
1.927,1.834
1.935,1.844
1.92,1.84
1.919,1.831
1.926,1.845
1.932,1.827
1.924,1.841
1.93,1.832
1.923,1.845
1.928,1.832
1.923,1.841
1.936,1.845
1.915,1.833
1.923,1.842
1.923,1.826
1.923,1.832
1.921,1.844
1.924,1.832
1.923,1.841
1.93,1.845
1.925,1.836
1.927,1.832
1.923,1.83
1.932,1.838
1.928,1.831
1.929,1.842
1.933,1.842
1.928,1.848
1.921,1.835
1.93,1.846
1.935,1.835
1.928,1.839
1.926,1.831
1.938,1.831
1.93,1.837
1.931,1.846
1.92,1.836
1.929,1.842
1.923,1.853
1.932,1.849
1.93,1.845
1.919,1.835
1.932,1.827
1.934,1.842
