x,y


-0.478,2.024
-0.512,2.029
-0.56,2.017
-0.475,2.041
-0.533,2.023
-0.492,2.017
-0.197,2.066
-0.286,2.075
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
-0.272,2.061
0.0,0.0
0.071,1.976
-0.382,2.2
-0.388,2.221
-0.366,2.22
-0.375,2.223
-0.364,2.229
-0.376,2.225
-0.39,2.224
-0.37,2.226
-0.381,2.233
-0.374,2.241
-0.285,2.321
1.629,2.039
2.833,2.146
2.473,2.163
2.643,2.146
2.578,2.093
2.536,2.014
2.525,2.016
2.529,2.029
2.531,2.023
2.54,2.018
2.53,2.022
2.534,2.026
2.529,2.024
2.534,2.022
2.534,2.021
2.523,2.009
2.53,2.022
2.535,2.022
2.542,2.018
2.517,2.011
2.537,2.025
2.528,2.018
2.535,2.024
2.54,2.022
2.538,2.02
2.533,2.009
2.529,2.016
2.536,2.013
2.539,2.019
2.521,2.018
2.537,2.018
2.52,2.014
2.524,2.016
2.533,2.024
2.528,2.009
2.525,2.025
2.527,2.02
2.533,2.021
2.528,2.024
2.535,2.024
2.544,1.989
2.547,2.007
2.54,2.001
2.52,2.011
2.529,2.013
2.528,2.01
2.529,2.014
2.53,2.004
2.526,2.01
2.536,2.015
2.532,2.014
2.531,2.028
2.534,2.018
2.558,1.98
2.518,2.041
2.511,2.024
2.529,2.009
2.533,2.01
2.537,2.018
2.535,2.013
2.523,2.013
2.528,2.022
2.527,2.024
2.541,2.019
2.532,2.007
2.518,2.031
2.535,2.007
2.526,2.018
2.516,2.022
2.531,2.033
2.524,2.02
2.524,2.013
2.52,2.023
2.519,2.008
2.518,2.005
2.531,2.006
2.526,2.021
2.524,2.018
2.527,2.004
2.522,2.025
2.528,2.015
2.511,2.018
2.528,1.99
2.522,2.019
2.533,2.013
2.528,2.008
2.52,2.02
2.514,2.015
2.519,2.012
2.535,2.009
2.523,2.012
2.528,2.014
2.543,2.026
2.511,2.017
2.514,2.011
2.542,2.028
2.521,2.021
2.526,2.016
2.527,2.005
2.533,2.007
2.531,2.014
2.529,2.0
2.532,2.021
2.531,2.006
2.543,1.978
2.539,2.003
2.573,1.951
2.515,2.024
2.536,2.001
2.535,2.007
2.547,2.033
2.532,2.006
2.525,2.009
2.537,2.006
2.532,2.004
2.519,2.002
2.533,2.009
2.528,2.011
2.53,2.011
2.528,2.018
2.531,2.016
2.521,2.013
2.531,2.005
2.526,2.012
2.533,2.007
2.526,2.005
2.531,2.008
2.528,2.008
2.53,2.006
2.527,2.009
2.531,2.005
2.531,2.008
2.531,2.009
2.534,2.004
2.531,2.011
2.533,2.002
2.527,2.006
2.527,2.01
2.526,2.005
2.527,2.013
2.532,2.004
2.53,2.007
2.527,2.0
2.53,2.008
2.528,2.01
2.525,2.004
2.518,2.006
2.532,2.013
2.519,2.014
2.53,2.012
2.535,2.01
2.519,2.007
2.528,2.006
2.521,2.003
2.529,1.995
2.522,2.011
2.526,1.999
2.521,2.007
2.523,2.011
2.539,2.009
2.526,2.003
2.527,2.012
2.533,2.009
2.53,2.015
2.523,2.004
2.528,2.013
2.532,2.008
2.524,2.001
2.538,2.013
2.529,2.004
2.528,2.009
2.532,2.001
