bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,3.3,3.24,2.0,2.006,0.060299253726724934,37.94852459998219
usafabot1,3.0,2.946,2.0,2.0106,0.05503053697720916,34.90114653902128
usafabot2,2.7,2.635,2.0,2.018,0.06744627491566932,32.29401301598409
usafabot3,2.3,2.23,2.0,2.028,0.07539230729988292,28.87723743499373
usafabot4,1.7,1.651,2.0,2.0374,0.06164219334189841,25.458241305983393
usafabot5,2.3,2.247,2.5,2.524,0.058180752831155376,29.393629427009728
usafabot6,2.0,1.939,2.5,2.536,0.07083078426785909,27.413881776999915
usafabot7,1.7,1.647,2.5,2.543,0.06824954212300625,26.229539639985887
usafabot8,1.7,1.7188,3.0,3.0696,0.07209438258283367,37.3674036070006
usafabot9,2.3,2.308,3.0,3.079,0.07940403012442145,37.04196943101124
usafabot10,3.0,2.997,2.5,2.57,0.07006425622241327,42.092493114992976
usafabot11,2.7,2.713,3.0,3.065,0.06628725367670613,36.67497637699125
usafabot12,3.0,3.011,3.0,3.077,0.0777817459305202,36.5721332099929
usafabot13,3.3,3.3102,3.0,3.1052,0.10569332996930315,37.31595835799817
usafabot14,0.0,3.793,0.0,6.001,7.099214745308104,0
usafabot15,0.0,5.993,0.0,3.401,6.890780071951215,0
usafabot16,0.0,5.993,0.0,3.201,6.794295401290704,0
usafabot17,0.0,5.993,0.0,2.801,6.615258876264783,0
usafabot18,0.0,5.993,0.0,2.601,6.533088855970045,0
usafabot19,0.0,3.593,0.0,0.001,3.593000139159474,0
usafabot20,0.0,3.393,0.0,0.001,3.393000147362213,0
usafabot21,0.0,3.193,0.0,0.001,3.193000156592542,0
usafabot22,0.0,2.793,0.0,0.001,2.7930001790189705,0
usafabot23,0.0,2.593,0.0,0.001,2.5930001928268345,0
usafabot24,0.0,2.393,0.0,0.001,2.3930002089427402,0
