bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,3.3,3.223,2.0,2.008,0.07741446893184757,39.053004608000265
usafabot1,3.0,2.931,2.0,2.013,0.07021395872616777,36.47169536099864
usafabot2,2.7,2.639,2.0,2.017,0.0633245607959506,33.749714007000875
usafabot3,2.3,2.239,2.0,2.025,0.06592419889539795,29.998899621999954
usafabot4,1.7,1.643,2.0,2.043,0.0714002801114954,26.48892024000088
usafabot5,2.3,2.232,2.5,2.53,0.07432361670424775,30.66011163300027
usafabot6,2.0,1.942,2.5,2.535,0.0677421582177599,28.7867120109986
usafabot7,1.7,1.6496,2.5,2.541,0.06497045482371194,27.22282974999871
usafabot8,1.7,1.7188,3.0,3.069,0.07151531304552892,37.915276103
usafabot9,2.3,2.308,3.0,3.065,0.0654904573201317,37.715805244000876
usafabot10,3.0,2.997,2.5,2.5706,0.07066371062999756,43.291015260001586
usafabot11,2.7,2.712,3.0,3.058,0.059228371579843224,37.778520911999294
usafabot12,3.0,3.01,3.0,3.063,0.06378871373526838,37.56146778099901
usafabot13,3.3,3.3108,3.0,3.1048,0.1053550188647888,37.858645981001246
usafabot14,0.0,3.797,0.0,6.0,7.100507657907285,0
usafabot15,0.0,5.997,0.0,3.4,6.893765951930773,0
usafabot16,0.0,5.997,0.0,3.2,6.797353087783509,0
usafabot17,0.0,5.997,0.0,2.8,6.618459715069662,0
usafabot18,0.0,5.997,0.0,2.6,6.53636053167204,0
usafabot19,0.0,3.597,0.0,0.0,3.597,0
usafabot20,0.0,3.397,0.0,0.0,3.397,0
usafabot21,0.0,3.197,0.0,0.0,3.197,0
usafabot22,0.0,2.797,0.0,0.0,2.797,0
usafabot23,0.0,2.597,0.0,0.0,2.597,0
usafabot24,0.0,2.397,0.0,0.0,2.397,0
