bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.8000000000000003,2.73,2.0,2.007,0.07034912934784653,33.43302651199974
usafabot1,2.6500000000000004,2.5936,2.5,2.498,0.056435449852021646,31.545359603999714
usafabot2,2.5,2.4215999999999998,2.5,2.5042,0.07851241939973598,29.70408763099931
usafabot3,2.2,2.128,2.0,2.028,0.07725283166331193,28.486795455999527
usafabot4,2.5,2.435,3.0,3.006,0.06527633568147027,30.188420591000067
usafabot5,2.35,2.2268,2.5,2.5302000000000002,0.1268474674559964,34.24320747799993
usafabot6,0.0,-0.001,0.0,3.6,3.6000001388888863,0
usafabot7,0.0,-0.001,0.0,3.8,3.800000131578945,0
usafabot8,0.0,2.399,0.0,6.0,6.4618264445897955,0
usafabot9,0.0,2.599,0.0,6.0,6.538715546649816,0
usafabot10,0.0,2.799,0.0,6.0,6.620755319448076,0
usafabot11,0.0,3.199,0.0,6.0,6.799529469014749,0
usafabot12,0.0,3.399,0.0,6.0,6.895882902138058,0
usafabot13,0.0,3.599,0.0,6.0,6.996627830605255,0
usafabot14,0.0,3.799,0.0,6.0,7.101577359995454,0
usafabot15,0.0,5.999,0.0,3.4,6.8955058552654425,0
usafabot16,0.0,5.999,0.0,3.2,6.7991176633442665,0
usafabot17,0.0,5.999,0.0,2.8,6.6202719732651465,0
usafabot18,0.0,5.999,0.0,2.6,6.538195546173271,0
usafabot19,0.0,3.599,0.0,0.0,3.599,0
usafabot20,0.0,3.399,0.0,0.0,3.399,0
usafabot21,0.0,3.199,0.0,0.0,3.199,0
usafabot22,0.0,2.799,0.0,0.0,2.799,0
usafabot23,0.0,2.599,0.0,0.0,2.599,0
usafabot24,0.0,2.399,0.0,0.0,2.399,0
