bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,3.35,3.3258,3.0,3.0406,0.04726520919238587,21.685649981000097
usafabot1,3.05,3.0312,2.5,2.542,0.04601564951187773,18.00259951499993
usafabot2,2.75,2.7068,2.0,1.9844,0.04593038210161127,14.477155157999732
usafabot3,2.35,2.4128,2.0,1.955,0.07725826816593782,12.734236916000555
usafabot4,2.75,2.7838,2.5,2.4572,0.05453695994461007,13.874870159000238
usafabot5,3.05,2.8884,3.0,3.0782,0.17952659970043425,15.678889580000032
usafabot6,1.75,1.743,2.0,1.939,0.06140032573203494,11.471689482999864
usafabot7,2.2,2.3207999999999998,2.5,2.4702,0.12442138079928178,16.845318699000018
usafabot8,2.05,1.9126,2.5,2.5558,0.1482983479341558,16.88151143199957
usafabot9,1.9,2.0508,2.5,2.7384,0.28209076553478324,67.43276663899996
usafabot10,2.75,2.7074000000000003,3.0,3.0018000000000002,0.04263801121065545,11.973508277999827
usafabot11,2.05,2.0336,3.0,3.0964,0.09778507043511298,12.400745337999979
usafabot12,0.0,3.5696,0.0,4.8086,5.988712559473864,0
usafabot13,0.0,4.184,0.0,4.9066,6.448300517190557,0
usafabot14,0.0,5.0934,0.0,4.9372,7.093565210809018,0
usafabot15,0.0,5.5974,0.0,4.4596,7.156739405623206,0
usafabot16,0.0,5.8776,0.0,3.6738,6.931304942072597,0
usafabot17,0.0,5.631,0.0,2.8652,6.318032291781992,0
usafabot18,0.0,5.495,0.0,1.803,5.783237328694025,0
usafabot19,0.0,4.3178,0.0,-0.1978,4.322328270735577,0
usafabot20,0.0,3.6064,0.0,-0.20800000000000002,3.6123932454814494,0
usafabot21,0.0,2.9290000000000003,0.0,0.081,2.930119792772985,0
usafabot22,0.0,2.3984,0.0,0.23500000000000001,2.4098853831665936,0
usafabot23,0.0,1.9932,0.0,0.0708,1.9944570388955487,0
