x,y


1.913,5.066
2.191,5.015
2.387,5.059
2.357,4.992
2.368,5.038
2.36,5.0
2.517,4.97
1.667,4.162
1.717,4.31
2.039,4.369
2.38,4.188
2.624,3.88
3.182,3.736
3.142,3.453
3.085,3.288
3.127,3.305
3.121,3.296
3.121,3.305
3.116,3.256
3.755,3.189
3.523,3.364
3.526,2.969
3.518,2.6
3.089,2.247
2.964,2.478
2.903,2.407
2.829,2.376
2.78,2.526
2.703,2.56
2.876,2.361
2.644,2.494
2.555,2.385
2.534,2.444
2.601,2.453
2.527,2.482
2.56,2.469
2.575,2.442
2.546,2.39
2.646,2.385
2.796,2.345
2.552,2.472
2.576,2.449
2.633,2.438
2.594,2.436
2.616,2.431
2.59,2.432
2.593,2.423
2.602,2.416
2.576,2.437
2.621,2.441
2.607,2.44
2.619,2.406
2.585,2.436
2.58,2.422
2.619,2.433
2.593,2.444
2.582,2.437
2.614,2.42
2.589,2.445
2.591,2.44
2.606,2.442
2.636,2.422
2.568,2.483
