x,y


-0.034,2.539
0.332,2.599
0.744,2.592
1.18,2.653
1.645,2.664
2.019,2.612
2.5,2.586
2.833,2.477
3.067,2.499
3.033,2.516
2.966,2.561
2.997,2.66
3.142,2.385
2.973,2.582
2.833,2.512
2.884,2.525
2.871,2.605
2.854,2.625
2.784,2.448
2.861,2.475
2.802,2.472
2.836,2.463
2.809,2.458
2.813,2.476
2.823,2.454
2.787,2.474
2.799,2.479
2.843,2.459
2.79,2.46
2.822,2.461
2.783,2.474
2.848,2.458
2.789,2.474
2.829,2.467
2.788,2.471
2.806,2.472
2.808,2.467
2.821,2.489
2.782,2.463
2.724,2.633
2.891,2.423
2.81,2.457
2.797,2.47
2.781,2.471
2.817,2.46
2.778,2.473
2.819,2.475
2.828,2.468
2.796,2.472
2.783,2.467
2.806,2.476
2.797,2.476
2.796,2.485
2.793,2.473
2.832,2.48
2.815,2.481
2.786,2.48
2.822,2.479
2.794,2.479
2.811,2.471
2.818,2.477
2.788,2.481
2.827,2.465
2.814,2.455
2.781,2.476
2.789,2.464
2.761,2.474
2.812,2.466
2.798,2.471
2.779,2.463
2.823,2.463
2.765,2.462
2.796,2.463
2.813,2.473
2.779,2.473
2.798,2.474
2.808,2.482
2.852,2.465
2.785,2.472
2.794,2.48
2.771,2.476
2.813,2.47
2.798,2.496
2.837,2.459
2.807,2.48
2.789,2.472
2.819,2.473
2.796,2.469
2.797,2.47
2.846,2.428
2.787,2.492
2.778,2.455
2.777,2.49
2.758,2.46
2.809,2.474
2.815,2.477
2.854,2.466
2.813,2.464
2.845,2.478
2.798,2.467
2.787,2.479
2.859,2.463
2.776,2.475
2.825,2.46
2.79,2.487
2.778,2.47
2.874,2.47
2.741,2.458
2.841,2.469
2.758,2.467
2.791,2.473
2.783,2.463
2.796,2.471
2.783,2.478
2.845,2.458
2.778,2.459
2.768,2.475
2.806,2.463
2.783,2.463
2.841,2.456
2.789,2.465
2.753,2.48
2.815,2.474
2.757,2.47
2.831,2.47
2.828,2.457
2.799,2.47
2.843,2.464
2.799,2.474
2.809,2.461
2.79,2.473
2.802,2.456
2.803,2.465
2.754,2.47
2.821,2.474
2.793,2.467
2.832,2.493
2.779,2.475
2.793,2.477
2.789,2.468
2.799,2.474
2.789,2.474
2.813,2.457
2.833,2.462
2.751,2.474
2.829,2.475
2.797,2.47
2.806,2.465
2.782,2.469
2.832,2.465
2.793,2.471
2.81,2.488
2.826,2.464
2.817,2.48
2.796,2.478
2.801,2.468
2.781,2.471
2.789,2.46
2.799,2.458
2.817,2.466
2.807,2.487
2.807,2.475
2.804,2.471
2.816,2.464
2.771,2.467
2.749,2.469
2.764,2.459
2.851,2.456
2.757,2.475
2.82,2.471
2.8,2.453
2.835,2.436
2.755,2.482
2.822,2.483
2.74,2.511
2.732,2.48
2.787,2.461
2.784,2.466
2.834,2.47
2.801,2.47
2.759,2.471
2.769,2.468
2.826,2.463
2.781,2.459
2.831,2.473
2.794,2.465
2.801,2.486
2.775,2.472
2.849,2.307
2.935,2.47
2.985,2.39
2.931,2.407
2.944,2.466
2.836,2.672
2.877,2.622
2.973,2.579
2.912,2.398
2.921,2.385
3.005,2.336
2.997,2.33
2.992,2.35
2.978,2.381
2.931,2.409
2.954,2.387
2.899,2.377
2.958,2.551
2.875,2.702
2.88,2.587
2.907,2.615
2.87,2.695
2.864,2.625
2.926,2.467
2.867,2.651
2.782,2.71
2.789,2.675
2.944,2.433
2.936,2.48
2.942,2.5
2.886,2.483
2.914,2.543
2.941,2.503
2.94,2.474
3.002,2.311
2.929,2.511
2.905,2.538
2.851,2.651
2.901,2.523
2.888,2.551
2.937,2.53
2.819,2.718
2.917,2.554
2.918,2.519
2.841,2.591
2.857,2.64
2.865,2.604
2.883,2.556
