x,y


3.283,4.828
3.339,4.626
3.385,4.359
3.512,3.68
3.48,3.301
3.069,2.865
2.985,2.877
2.975,2.855
2.988,2.849
2.973,2.836
2.989,2.835
2.983,2.822
2.984,2.813
2.985,2.809
2.998,2.81
3.005,2.812
3.033,2.799
3.036,2.809
3.066,2.813
2.991,2.779
3.365,1.883
3.26,2.171
2.961,1.973
2.984,2.022
2.166,2.034
2.172,2.197
2.083,3.148
2.069,2.994
2.016,3.119
1.999,3.108
1.995,3.109
2.007,3.115
2.005,3.113
2.001,3.114
2.005,3.11
1.999,3.098
1.999,3.109
2.008,3.108
1.998,3.108
2.002,3.103
1.995,3.102
2.007,3.115
2.0,3.109
2.01,3.118
2.013,3.115
1.999,3.11
1.998,3.109
1.991,3.102
2.001,3.115
2.006,3.11
2.001,3.101
