x,y


-0.1,1.216
0.294,1.475
0.614,1.583
1.024,1.737
1.414,1.891
1.81,1.988
2.171,2.024
2.348,2.041
2.335,2.021
2.375,2.106
2.341,2.104
2.394,2.14
2.369,2.1
2.365,2.1
2.365,2.099
2.364,2.101
2.366,2.1
2.364,2.105
2.37,2.099
2.364,2.107
2.368,2.1
2.372,2.102
2.372,2.102
2.366,2.101
2.372,2.099
2.368,2.101
2.37,2.104
2.37,2.1
2.364,2.105
2.366,2.103
2.376,2.104
2.371,2.108
2.366,2.104
2.368,2.106
2.364,2.103
2.374,2.1
2.376,2.097
2.372,2.108
2.377,2.105
2.369,2.111
2.373,2.118
2.374,2.107
2.37,2.108
2.369,2.106
2.366,2.112
2.357,2.115
2.377,2.103
2.374,2.111
2.366,2.117
2.368,2.116
2.375,2.112
2.374,2.115
2.375,2.111
2.366,2.105
2.373,2.107
2.374,2.103
2.362,2.112
2.381,2.115
2.381,2.105
2.378,2.112
2.373,2.104
2.372,2.114
2.377,2.098
2.382,2.107
2.376,2.115
2.373,2.113
2.365,2.112
2.373,2.109
2.375,2.116
2.378,2.104
2.378,2.11
2.38,2.114
2.375,2.114
2.378,2.107
2.378,2.116
2.377,2.116
2.371,2.117
2.372,2.106
2.376,2.113
2.381,2.114
2.372,2.118
2.376,2.114
2.375,2.112
2.374,2.119
2.374,2.11
2.38,2.111
2.377,2.107
2.368,2.114
2.375,2.111
2.365,2.107
2.382,2.106
2.374,2.107
2.373,2.112
2.377,2.112
2.385,2.111
2.375,2.107
2.38,2.117
2.375,2.121
2.366,2.116
2.382,2.111
2.373,2.109
2.38,2.112
2.363,2.111
2.382,2.117
2.384,2.11
2.373,2.116
2.376,2.119
2.387,2.119
2.392,2.119
2.385,2.116
2.376,2.109
2.381,2.108
2.381,2.119
2.38,2.108
2.381,2.116
2.379,2.123
2.384,2.121
2.383,2.118
2.381,2.117
2.376,2.122
2.383,2.121
2.383,2.131
2.381,2.126
2.387,2.114
2.379,2.125
2.375,2.126
2.37,2.12
2.381,2.119
2.378,2.121
2.383,2.116
2.37,2.127
2.382,2.126
2.374,2.122
2.375,2.124
2.384,2.123
2.382,2.124
2.38,2.122
2.37,2.123
2.382,2.129
2.375,2.115
2.381,2.138
2.391,2.127
2.379,2.126
2.388,2.133
2.379,2.124
2.389,2.125
2.388,2.134
2.385,2.128
2.401,2.121
2.384,2.129
2.381,2.122
2.379,2.129
2.39,2.12
2.38,2.131
2.384,2.127
2.379,2.129
2.383,2.126
2.383,2.132
2.386,2.123
2.374,2.123
2.391,2.134
2.372,2.144
2.368,2.154
2.373,2.14
2.403,2.126
2.428,2.092
2.403,2.119
2.439,2.056
2.41,2.136
2.394,2.123
2.399,2.14
2.398,2.131
2.394,2.129
2.402,2.132
2.399,2.132
2.401,2.13
2.403,2.134
2.403,2.128
2.392,2.129
2.398,2.131
2.393,2.13
2.4,2.129
2.395,2.139
2.391,2.144
2.401,2.126
2.406,2.129
2.406,2.138
2.401,2.14
2.4,2.128
