x,y


-0.295,2.162
-0.27,2.178
-0.254,2.17
-0.266,2.176
-0.264,2.172
-0.359,2.166
-0.564,2.161
-0.413,2.175
-0.269,2.176
-0.29,2.175
-0.316,2.18
-0.303,2.173
-0.364,2.184
-0.454,2.167
-0.152,2.177
-0.341,2.172
-0.324,2.166
-0.209,2.186
-0.34,2.172
-0.317,2.185
-0.322,2.181
-0.298,2.183
-0.31,2.169
-0.291,2.184
-0.373,2.174
-0.514,2.148
-0.118,2.171
-0.262,2.142
-0.365,2.186
-0.483,2.175
-0.313,2.164
-0.222,2.164
-0.297,2.189
-0.171,2.121
-0.102,2.15
0.125,2.083
-0.027,2.188
-0.038,2.102
0.065,2.11
0.03,2.019
0.039,2.02
0.153,2.14
0.296,2.231
0.261,1.836
0.278,2.079
0.343,1.991
0.213,1.93
0.079,1.881
0.474,1.961
0.162,1.997
1.381,0.874
1.321,-1.058
0.628,-1.279
0.795,-1.538
0.791,-1.508
0.817,-1.534
1.666,-0.242
2.626,1.242
2.963,1.793
3.247,3.12
3.243,2.953
3.22,2.998
3.221,2.981
3.226,2.976
3.216,2.978
3.221,2.978
3.195,2.96
3.207,2.971
3.2,2.968
3.201,2.981
3.199,2.965
3.214,2.989
3.199,2.957
3.211,2.964
3.199,2.96
3.202,2.965
3.203,2.957
3.2,2.958
3.205,2.968
3.207,2.96
3.207,2.972
3.201,2.957
3.201,2.953
3.206,2.967
3.204,2.965
3.214,2.947
3.205,2.961
3.196,2.952
3.245,2.999
3.197,2.964
3.204,2.961
3.209,2.955
3.208,2.953
3.214,2.957
3.206,2.945
3.216,2.958
3.199,2.954
3.204,2.962
3.258,3.088
3.251,3.017
3.262,3.04
3.274,3.032
3.279,3.128
3.226,2.905
3.209,3.104
3.14,3.246
3.069,3.184
3.09,3.214
3.053,3.21
3.169,3.14
3.053,3.202
3.187,3.148
3.156,3.126
3.14,3.145
3.12,3.111
3.155,3.147
3.119,3.134
3.183,3.183
3.157,3.158
3.16,3.174
3.15,3.169
3.143,3.178
3.159,3.14
3.143,3.158
3.172,3.139
3.108,3.152
3.193,3.199
3.122,3.147
3.115,3.132
3.148,3.158
3.085,3.124
3.15,3.143
3.153,3.109
3.11,3.141
3.104,3.127
3.126,3.196
3.094,3.134
3.131,3.141
3.137,3.124
3.172,3.194
3.117,3.122
3.153,3.185
3.125,3.146
3.143,3.186
3.136,3.175
3.147,3.177
3.116,3.123
3.121,3.145
3.139,3.181
3.136,3.155
3.119,3.113
3.143,3.124
3.155,3.177
3.108,3.127
3.173,3.194
3.153,3.168
3.125,3.125
3.093,3.129
3.143,3.16
3.111,3.121
3.155,3.178
3.156,3.114
3.152,3.175
3.107,3.132
3.127,3.147
3.06,3.103
3.153,3.196
3.106,3.103
3.14,3.158
3.12,3.148
3.149,3.159
3.129,3.152
3.111,3.123
3.136,3.116
3.08,3.126
3.202,3.107
3.154,3.128
3.17,3.126
3.135,3.121
3.104,3.105
3.151,3.143
3.141,3.086
3.15,2.985
3.09,3.181
3.144,3.111
3.112,3.123
3.147,3.129
3.13,3.129
3.154,3.13
3.146,3.16
3.112,3.156
3.144,3.153
3.169,3.165
3.09,3.129
3.161,3.19
3.045,3.079
3.171,3.186
3.125,3.131
3.142,3.108
3.19,3.148
3.109,3.145
3.103,3.094
3.122,3.13
3.111,3.079
3.148,3.141
3.127,3.092
3.116,3.141
3.082,3.096
3.141,3.136
3.149,3.132
3.129,3.153
3.13,3.099
3.111,3.122
3.123,3.134
3.117,3.124
3.101,3.121
3.118,3.102
3.128,3.127
3.116,3.131
3.122,3.119
3.146,3.142
3.115,3.092
3.157,3.099
3.101,3.13
3.116,3.128
3.108,3.118
3.114,3.114
3.106,3.122
3.119,3.106
3.122,3.108
3.195,3.006
3.107,3.106
3.143,3.16
3.099,3.096
3.136,3.167
3.111,3.162
3.132,3.104
3.129,3.144
3.142,3.143
3.09,3.112
3.133,3.16
3.113,3.126
3.14,3.157
3.106,3.1
3.114,3.114
3.126,3.118
3.109,3.133
3.147,3.151
3.141,3.133
3.141,3.155
3.137,3.122
3.108,3.11
3.157,3.166
3.109,3.094
3.134,3.116
3.144,3.124
3.08,3.057
3.128,3.102
3.148,3.141
3.13,3.133
3.098,3.074
3.074,3.068
3.122,3.119
3.095,3.093
3.177,2.991
3.127,3.126
3.14,3.111
3.052,2.998
3.149,3.064
3.087,2.992
3.18,3.046
3.155,3.159
3.109,3.092
3.11,3.122
3.127,3.112
3.107,3.107
3.104,3.117
3.105,3.079
3.175,3.151
3.139,3.054
3.101,2.963
3.067,3.039
3.084,3.041
3.068,3.045
3.074,3.022
3.144,2.956
3.083,3.035
3.08,3.033
3.072,3.036
3.083,3.052
3.084,3.045
3.087,3.019
3.08,3.041
3.089,3.041
3.085,3.032
3.084,3.038
3.084,3.031
3.062,3.019
3.082,3.049
3.12,3.02
3.087,3.023
3.072,3.064
3.111,3.004
3.094,3.042
3.061,3.039
3.081,3.021
3.082,3.051
3.121,3.009
3.078,3.05
3.091,3.031
3.076,3.027
3.095,3.035
3.088,3.052
3.086,3.042
3.09,3.033
3.076,3.044
3.082,3.04
3.089,3.037
3.067,3.034
3.081,3.034
3.087,3.035
3.085,3.036
3.082,3.048
3.074,3.058
3.087,3.031
3.083,3.052
3.077,3.014
3.078,3.024
3.073,3.038
3.08,3.028
3.078,3.026
