x,y


-0.139,1.509
-0.097,1.502
0.346,1.703
0.587,1.786
0.109,2.082
0.565,2.037
0.372,1.976
0.262,2.127
0.261,2.214
0.32,2.163
0.292,2.29
0.258,2.271
0.271,2.29
0.272,2.294
0.268,2.291
0.265,2.286
0.254,2.286
0.261,2.281
0.278,2.28
0.257,2.284
0.265,2.287
0.271,2.287
0.258,2.287
0.266,2.288
0.261,2.288
0.265,2.292
0.27,2.281
0.279,2.294
0.262,2.285
0.269,2.284
0.269,2.288
0.256,2.29
0.262,2.282
0.268,2.281
0.258,2.297
0.252,2.289
0.267,2.287
0.255,2.286
0.266,2.294
0.263,2.277
0.266,2.297
0.245,2.299
0.196,2.274
0.103,2.317
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.119,2.306
0.0,0.0
0.195,2.345
0.411,2.665
0.87,2.858
1.288,3.011
1.656,2.815
2.108,2.705
2.246,2.049
2.262,2.059
2.066,1.944
2.045,2.028
2.01,1.904
2.032,1.819
1.678,1.753
1.592,2.055
1.729,2.231
2.064,1.983
1.666,1.812
1.634,1.98
1.569,1.934
1.577,1.934
1.578,1.931
1.554,1.928
1.58,1.936
1.578,1.936
1.582,1.938
1.586,1.917
1.588,1.932
1.577,1.937
1.564,1.943
1.576,1.939
1.565,1.933
1.571,1.896
1.574,1.941
1.575,1.939
1.576,1.946
1.57,1.937
1.582,1.931
1.563,1.946
1.578,1.933
1.648,2.056
1.571,1.927
1.583,1.95
1.569,1.938
1.577,1.934
1.581,1.925
1.579,1.94
1.568,1.944
1.561,1.917
1.575,1.929
1.56,1.924
1.578,1.934
1.601,1.969
1.585,1.941
1.577,1.954
1.567,1.95
1.585,1.952
1.584,1.948
1.582,1.953
1.568,1.944
1.649,2.072
1.567,1.91
1.578,1.92
1.579,1.924
1.574,1.912
1.584,1.936
1.584,1.936
1.572,1.933
1.574,1.919
1.59,1.916
1.56,1.924
1.555,1.927
1.576,1.95
1.573,1.932
1.549,1.912
1.572,1.941
1.567,1.928
1.58,1.924
1.585,1.947
1.584,1.933
1.579,1.928
1.586,1.942
1.564,1.91
1.58,1.935
1.574,1.922
1.572,1.931
1.562,1.945
1.574,1.93
1.579,1.926
1.573,1.923
1.574,1.931
1.573,1.926
1.581,1.931
1.57,1.934
1.572,1.916
1.563,1.922
1.58,1.919
1.55,1.929
1.569,1.943
1.562,1.885
1.58,1.904
1.554,1.96
1.562,1.926
1.563,1.927
1.578,1.92
1.552,1.951
1.556,1.915
1.548,1.927
1.572,1.947
1.561,1.934
1.552,1.921
1.578,1.929
1.561,1.929
1.559,1.922
1.556,1.928
1.566,1.924
1.558,1.931
1.569,1.937
1.562,1.939
1.558,1.922
1.56,1.933
1.551,1.928
1.562,1.925
