x,y


0.003,0.747
0.41,1.111
0.724,1.182
1.108,1.45
1.477,1.602
1.819,1.873
2.213,1.984
2.55,2.121
2.876,2.357
2.921,2.495
2.926,2.476
2.932,2.488
2.931,2.494
2.935,2.475
2.927,2.485
2.93,2.484
2.931,2.487
2.931,2.482
2.925,2.482
2.927,2.478
2.938,2.48
2.936,2.482
2.93,2.478
2.936,2.474
2.928,2.485
2.931,2.471
2.929,2.481
2.92,2.484
2.922,2.481
2.924,2.484
2.932,2.472
2.923,2.476
2.933,2.471
2.926,2.483
2.913,2.486
2.935,2.475
2.927,2.482
2.929,2.479
2.926,2.483
2.931,2.462
2.938,2.474
2.93,2.478
2.938,2.477
2.94,2.481
2.926,2.483
2.941,2.472
2.941,2.463
2.94,2.477
2.941,2.48
3.054,2.355
3.027,2.4
2.859,2.541
2.902,2.479
2.953,2.457
2.902,2.498
2.94,2.455
2.922,2.501
2.94,2.467
2.93,2.463
2.925,2.476
2.914,2.479
3.007,2.562
2.961,2.511
2.949,2.487
2.928,2.485
2.93,2.48
2.92,2.485
2.934,2.481
2.927,2.479
2.933,2.484
2.936,2.49
2.933,2.493
2.936,2.484
2.906,2.464
2.932,2.486
2.925,2.482
2.933,2.471
2.923,2.48
2.917,2.482
2.932,2.485
2.927,2.475
2.933,2.492
2.924,2.471
2.931,2.479
2.923,2.489
2.929,2.482
2.93,2.487
2.928,2.482
2.926,2.486
2.926,2.478
2.936,2.484
2.922,2.482
2.922,2.479
2.928,2.486
2.926,2.478
2.919,2.482
2.931,2.477
2.927,2.482
2.93,2.48
2.933,2.481
2.922,2.485
2.932,2.492
2.933,2.488
2.927,2.491
2.926,2.484
2.929,2.483
2.92,2.476
2.934,2.486
2.924,2.493
2.94,2.484
2.93,2.482
2.936,2.478
2.921,2.498
2.922,2.479
2.927,2.489
2.934,2.483
2.928,2.495
2.933,2.493
2.933,2.473
2.928,2.479
2.932,2.48
2.921,2.484
2.926,2.492
2.935,2.481
2.939,2.479
2.929,2.484
2.939,2.484
2.927,2.495
2.92,2.485
2.935,2.494
2.918,2.49
2.938,2.487
2.935,2.49
2.928,2.488
2.93,2.489
2.933,2.484
2.929,2.498
2.939,2.49
2.923,2.493
2.933,2.491
2.938,2.494
2.929,2.485
2.935,2.5
2.93,2.483
2.925,2.492
2.906,2.488
2.935,2.488
2.933,2.492
2.93,2.484
2.929,2.488
2.927,2.491
2.941,2.515
2.943,2.474
2.948,2.509
2.936,2.495
2.929,2.487
2.929,2.489
2.915,2.47
2.913,2.455
2.936,2.485
