x,y


0.11,1.572
0.495,1.627
0.969,1.655
1.396,1.727
1.733,1.975
1.721,1.96
1.726,1.85
1.926,1.8
1.923,1.79
1.918,1.798
1.917,1.787
1.911,1.785
1.915,1.78
1.912,1.787
1.914,1.773
1.904,1.795
1.924,1.779
1.929,1.776
1.924,1.784
1.906,1.788
1.915,1.781
1.912,1.789
1.926,1.764
1.915,1.785
1.921,1.79
1.917,1.78
1.91,1.789
1.919,1.783
1.921,1.785
1.914,1.787
1.928,1.793
1.912,1.787
1.904,1.786
1.872,1.824
1.893,1.771
1.901,1.778
1.924,1.793
1.9,1.794
1.931,1.793
1.923,1.796
1.917,1.781
1.906,1.791
1.904,1.777
1.909,1.796
1.919,1.786
1.919,1.798
1.928,1.779
1.882,1.822
1.933,1.769
1.903,1.785
1.918,1.784
1.921,1.768
1.903,1.784
1.899,1.792
1.919,1.788
1.915,1.774
1.896,1.796
1.918,1.787
1.909,1.791
1.91,1.786
1.906,1.791
1.906,1.786
1.906,1.791
1.91,1.792
1.909,1.777
1.908,1.787
1.915,1.775
1.908,1.79
1.916,1.798
1.916,1.8
1.913,1.785
1.919,1.779
1.906,1.777
1.914,1.792
1.909,1.781
1.904,1.789
1.917,1.779
1.909,1.791
1.921,1.78
1.917,1.793
1.906,1.788
1.904,1.787
1.906,1.786
1.918,1.782
1.908,1.78
1.903,1.785
1.903,1.794
1.908,1.782
1.89,1.78
1.898,1.794
1.902,1.783
1.903,1.797
1.919,1.761
1.904,1.794
1.897,1.806
1.907,1.784
1.906,1.791
1.913,1.773
1.911,1.784
1.89,1.787
1.897,1.791
1.908,1.791
1.914,1.781
1.894,1.788
1.911,1.784
1.907,1.793
1.909,1.803
1.897,1.782
1.916,1.78
1.89,1.792
1.895,1.791
1.903,1.793
1.896,1.781
1.903,1.785
1.901,1.793
1.912,1.784
1.907,1.783
1.902,1.775
1.896,1.79
1.901,1.783
1.904,1.786
1.919,1.787
1.899,1.789
1.915,1.773
1.9,1.784
1.902,1.791
1.894,1.787
1.908,1.782
1.896,1.786
1.907,1.777
1.9,1.801
1.913,1.788
1.911,1.783
1.899,1.788
1.899,1.777
1.911,1.785
1.898,1.789
1.909,1.784
1.9,1.786
1.897,1.793
1.912,1.788
1.911,1.786
1.896,1.796
1.912,1.781
1.901,1.792
1.911,1.775
1.905,1.782
1.903,1.793
1.91,1.784
1.908,1.79
1.9,1.775
1.908,1.776
1.902,1.776
1.894,1.787
1.901,1.779
1.902,1.782
1.905,1.771
1.906,1.775
1.905,1.788
1.909,1.778
1.906,1.775
1.912,1.773
1.907,1.774
1.903,1.781
1.912,1.769
1.906,1.77
1.904,1.78
1.905,1.778
1.907,1.782
1.92,1.769
1.902,1.778
1.903,1.782
1.895,1.789
1.906,1.772
1.9,1.783
1.899,1.788
1.907,1.799
1.903,1.776
1.905,1.78
1.905,1.778
1.9,1.789
1.896,1.799
1.909,1.787
1.896,1.79
1.901,1.796
1.897,1.78
1.899,1.778
1.892,1.811
1.892,1.782
1.897,1.798
1.898,1.783
1.898,1.786
1.894,1.783
1.888,1.791
1.899,1.769
1.891,1.79
1.894,1.781
1.89,1.784
1.901,1.775
1.893,1.788
1.892,1.787
1.881,1.801
1.894,1.784
1.89,1.778
1.894,1.784
1.901,1.781
1.888,1.782
1.892,1.772
1.904,1.801
1.895,1.785
1.901,1.792
1.903,1.782
1.899,1.784
1.895,1.788
1.898,1.781
1.895,1.78
1.901,1.781
1.901,1.786
1.901,1.79
1.893,1.79
1.889,1.788
1.9,1.779
1.894,1.778
