x,y


-0.18,1.216
0.216,1.427
0.598,1.619
0.972,1.808
1.377,1.987
1.802,2.074
2.063,2.099
2.447,1.773
2.418,1.868
2.423,1.857
2.405,1.818
2.397,1.833
2.417,1.84
2.433,1.843
2.411,1.816
2.424,1.831
2.419,1.828
2.402,1.834
2.415,1.834
2.432,1.871
2.409,1.816
2.434,1.857
2.409,1.841
2.408,1.823
2.406,1.823
2.414,1.834
2.403,1.852
2.435,1.839
2.41,1.827
2.409,1.828
2.428,1.881
2.431,1.85
2.441,1.856
2.409,1.845
2.411,1.841
2.417,1.813
2.417,1.838
2.418,1.832
2.421,1.853
2.431,1.856
2.411,1.825
2.433,1.828
2.425,1.849
2.424,1.849
2.421,1.852
2.426,1.851
2.42,1.848
2.406,1.832
2.419,1.807
2.432,1.843
2.434,1.853
2.428,1.85
2.427,1.85
2.431,1.801
2.434,1.842
2.431,1.834
2.437,1.849
2.421,1.84
2.425,1.833
2.417,1.83
2.407,1.861
2.431,1.827
2.425,1.852
2.432,1.85
2.437,1.884
2.449,1.826
2.451,1.886
2.413,1.975
2.293,1.918
2.474,1.972
2.447,1.906
2.47,1.913
2.431,1.871
2.435,1.922
2.46,2.013
2.428,1.901
2.459,1.954
2.431,1.934
2.427,1.91
2.451,1.989
2.474,1.894
2.454,2.021
2.435,1.941
2.438,2.09
2.439,1.916
2.487,2.015
2.465,1.856
2.443,1.955
2.464,2.002
2.458,1.943
2.467,1.982
2.474,2.001
2.466,1.969
2.462,1.963
2.472,1.934
2.456,1.957
2.489,1.999
2.482,1.869
2.461,1.944
2.468,1.967
2.382,1.899
2.468,1.846
2.462,2.018
2.429,1.928
2.42,1.863
2.505,2.034
2.47,2.003
2.452,1.843
2.536,1.961
2.426,1.845
2.398,1.904
2.474,1.979
2.45,1.983
2.453,1.944
2.45,1.984
2.466,1.962
2.445,1.963
2.46,1.992
2.468,1.964
2.425,1.93
2.43,1.93
2.474,2.005
2.411,1.883
2.459,1.99
2.449,1.928
2.385,2.109
2.414,1.859
2.443,2.048
2.413,1.857
2.461,1.957
2.449,1.975
2.448,1.974
2.46,1.965
2.45,1.985
2.494,2.018
2.446,1.962
2.469,1.987
2.445,1.958
2.47,1.967
2.429,1.934
2.452,2.005
2.478,1.986
2.446,1.959
2.46,1.982
2.448,1.965
2.474,1.979
2.462,2.007
2.482,2.0
2.466,1.968
2.475,1.986
2.47,1.978
2.472,1.986
2.469,1.982
2.472,2.003
2.464,1.966
2.452,1.972
2.445,1.962
2.461,1.958
2.456,1.989
2.461,2.002
2.448,1.966
2.463,1.991
2.464,1.976
2.457,1.967
2.454,1.984
2.466,1.994
2.47,1.999
2.483,1.993
2.461,1.989
2.407,1.901
2.398,1.882
2.464,2.012
2.452,1.95
2.461,1.973
2.445,1.943
2.449,1.942
2.459,1.984
2.453,1.954
2.468,1.987
2.429,1.919
2.51,2.01
2.455,1.982
2.478,1.999
2.475,2.012
2.459,1.97
2.458,1.957
2.477,2.012
2.454,1.983
2.464,1.991
2.458,1.974
2.451,1.974
2.469,1.98
2.479,1.999
2.463,1.994
2.461,1.999
2.454,1.977
2.461,1.976
2.463,2.007
2.454,1.984
2.482,2.005
2.475,2.01
2.445,1.96
2.466,2.017
2.457,2.016
2.468,1.996
2.476,2.004
2.458,1.976
2.464,1.991
2.471,1.973
2.453,2.001
2.483,2.002
2.481,2.0
