x,y


-0.1,4.865
0.393,4.712
0.452,4.258
1.12,4.188
1.343,3.867
1.662,3.331
1.908,3.224
2.287,3.288
2.563,3.156
2.952,2.964
2.861,2.868
2.862,2.86
2.871,2.848
2.873,2.859
2.87,2.859
2.871,2.856
2.863,2.858
2.875,2.862
2.852,2.853
2.87,2.857
2.857,2.884
2.867,2.855
2.862,2.852
2.86,2.852
2.863,2.85
2.864,2.854
2.847,2.865
2.847,2.857
2.846,2.894
2.828,2.899
2.852,2.882
2.855,2.943
2.86,2.858
2.846,2.874
2.844,2.878
2.867,2.834
2.861,2.904
2.831,2.859
2.857,2.871
2.861,2.877
2.873,2.86
2.862,2.871
2.874,2.856
2.859,2.861
2.868,2.858
2.872,2.85
2.871,2.864
2.868,2.869
2.871,2.852
2.907,2.939
2.869,2.863
2.87,2.863
2.859,2.861
2.873,2.863
2.861,2.85
2.863,2.864
2.861,2.867
2.866,2.864
2.873,2.866
2.87,2.863
2.864,2.858
2.861,2.864
2.868,2.862
2.866,2.871
2.863,2.861
2.865,2.871
2.879,2.87
2.863,2.87
2.861,2.872
2.869,2.865
2.864,2.867
2.863,2.864
2.872,2.868
2.872,2.867
2.853,2.862
2.879,2.875
2.89,2.834
2.869,2.86
2.886,2.856
2.864,2.864
3.028,2.732
2.859,2.875
2.907,2.845
2.868,2.861
2.887,2.857
2.853,2.873
2.861,2.87
2.878,2.888
2.874,2.871
2.865,2.861
2.866,2.87
2.873,2.864
2.871,2.868
2.865,2.867
2.872,2.869
2.863,2.876
2.867,2.867
2.874,2.861
2.873,2.878
2.869,2.869
2.869,2.874
2.866,2.866
2.86,2.862
2.862,2.868
2.865,2.874
2.87,2.871
2.872,2.874
2.874,2.864
2.873,2.864
2.863,2.873
2.869,2.858
2.874,2.867
2.869,2.871
2.868,2.873
2.867,2.867
2.859,2.87
2.87,2.873
2.867,2.868
2.864,2.875
2.861,2.869
2.863,2.866
2.868,2.873
2.868,2.871
2.872,2.87
2.867,2.871
2.861,2.868
2.871,2.868
2.865,2.87
2.866,2.871
2.864,2.878
2.87,2.873
2.861,2.864
2.866,2.872
2.859,2.867
2.872,2.869
2.865,2.876
2.867,2.863
2.864,2.875
2.873,2.867
2.859,2.877
2.864,2.869
2.867,2.871
2.874,2.862
2.867,2.872
2.867,2.864
2.86,2.865
2.867,2.861
2.855,2.881
2.862,2.869
2.865,2.87
2.876,2.866
2.866,2.88
2.866,2.864
2.855,2.869
2.866,2.866
2.862,2.869
2.862,2.873
2.864,2.874
2.87,2.876
2.87,2.876
2.862,2.878
2.867,2.862
2.872,2.873
2.867,2.873
2.862,2.871
2.865,2.869
2.861,2.865
2.868,2.869
2.859,2.872
2.859,2.862
2.858,2.878
2.867,2.874
2.867,2.87
2.864,2.872
2.86,2.869
2.865,2.867
2.862,2.867
2.868,2.874
2.867,2.865
2.859,2.866
2.857,2.871
2.873,2.869
2.861,2.875
2.863,2.866
2.856,2.881
2.875,2.87
2.873,2.865
2.873,2.883
2.864,2.87
2.86,2.879
2.871,2.867
2.857,2.875
2.863,2.879
2.873,2.879
2.865,2.878
2.864,2.881
2.867,2.87
2.864,2.879
2.862,2.873
2.86,2.88
2.864,2.866
2.864,2.88
2.871,2.872
2.875,2.878
2.867,2.87
2.872,2.87
2.866,2.879
2.868,2.878
2.866,2.873
2.868,2.874
2.864,2.877
2.866,2.873
2.868,2.881
2.862,2.877
2.866,2.872
2.864,2.869
