x,y


-0.205,0.421
-0.14,0.491
0.182,0.873
0.416,1.205
0.701,1.495
1.005,1.737
1.212,2.025
1.62,2.163
2.142,2.316
2.554,2.313
2.933,2.252
2.802,1.791
2.788,1.856
2.787,1.844
2.789,1.85
2.794,1.843
2.782,1.848
2.788,1.855
2.785,1.848
2.784,1.854
2.79,1.853
2.785,1.848
2.79,1.85
2.795,1.848
2.79,1.847
2.79,1.856
2.79,1.841
2.79,1.85
2.788,1.844
2.794,1.855
2.79,1.844
2.786,1.841
2.792,1.841
2.788,1.838
2.786,1.841
2.789,1.857
2.797,1.836
2.794,1.841
2.787,1.849
2.789,1.847
2.79,1.841
2.79,1.856
2.787,1.843
2.785,1.847
2.787,1.835
2.793,1.844
2.793,1.84
2.787,1.846
2.788,1.845
2.794,1.841
2.795,1.851
2.785,1.846
2.791,1.844
2.792,1.847
2.795,1.847
2.785,1.845
2.797,1.849
2.779,1.849
2.796,1.838
2.784,1.838
2.798,1.834
2.795,1.851
2.793,1.849
2.794,1.835
2.795,1.845
2.794,1.836
2.8,1.85
2.793,1.832
2.796,1.846
2.798,1.843
2.792,1.836
2.801,1.842
2.791,1.843
2.794,1.85
2.788,1.851
2.798,1.844
2.799,1.842
2.81,1.782
2.767,1.882
2.795,1.821
2.802,1.828
2.808,1.822
2.802,1.822
2.788,1.825
2.79,1.822
2.797,1.819
2.8,1.825
2.801,1.83
2.799,1.826
2.801,1.819
2.805,1.827
2.811,1.829
2.803,1.832
2.804,1.819
2.804,1.834
2.805,1.819
2.798,1.831
2.792,1.838
2.796,1.825
2.786,1.844
2.795,1.842
2.79,1.819
2.796,1.835
2.793,1.832
2.795,1.833
2.799,1.839
2.799,1.836
2.798,1.845
2.797,1.832
2.81,1.834
2.797,1.834
2.8,1.829
2.795,1.841
2.797,1.841
2.798,1.842
2.788,1.84
2.803,1.844
2.795,1.846
2.798,1.846
2.796,1.848
2.798,1.845
2.784,1.859
2.792,1.857
2.801,1.844
2.794,1.815
2.807,1.852
2.808,1.859
2.798,1.827
2.787,1.862
2.79,1.847
2.773,1.799
2.802,1.861
2.805,1.856
2.809,1.869
2.81,1.838
2.785,1.845
2.798,1.832
2.808,1.839
2.79,1.816
2.793,1.846
2.799,1.839
2.799,1.835
2.811,1.839
2.794,1.873
2.806,1.834
2.798,1.83
2.804,1.842
2.797,1.823
2.805,1.838
2.8,1.831
2.807,1.834
2.797,1.827
2.802,1.84
2.806,1.823
2.805,1.836
2.807,1.831
2.808,1.834
2.808,1.825
2.806,1.834
2.8,1.829
2.8,1.838
2.804,1.836
2.809,1.826
2.801,1.834
2.807,1.834
2.813,1.83
2.807,1.845
2.8,1.835
2.806,1.826
2.807,1.831
2.807,1.833
2.805,1.838
2.799,1.854
2.811,1.822
2.797,1.849
2.81,1.823
2.791,1.839
2.805,1.832
2.802,1.837
2.809,1.821
2.772,1.886
2.833,1.767
2.794,1.844
2.805,1.837
2.803,1.829
2.804,1.835
2.807,1.84
2.808,1.84
2.807,1.834
2.813,1.827
2.803,1.836
2.809,1.835
2.817,1.831
2.81,1.83
2.805,1.838
2.803,1.83
2.819,1.825
2.81,1.832
2.803,1.831
2.816,1.832
2.807,1.828
2.814,1.831
2.807,1.829
2.81,1.84
2.809,1.833
2.81,1.831
2.814,1.827
2.809,1.83
2.817,1.829
2.815,1.829
2.814,1.831
2.806,1.828
2.812,1.832
2.806,1.833
2.814,1.832
2.811,1.819
2.807,1.827
2.809,1.823
2.811,1.829
2.82,1.828
2.807,1.823
2.816,1.825
2.81,1.83
2.814,1.825
2.81,1.829
2.803,1.837
2.815,1.833
2.816,1.832
2.81,1.837
2.815,1.833
2.824,1.836
2.812,1.827
2.808,1.829
2.814,1.83
2.81,1.827
2.809,1.824
2.812,1.828
2.818,1.822
2.803,1.824
2.815,1.831
2.815,1.832
2.808,1.825
2.807,1.826
2.814,1.821
2.808,1.825
2.821,1.822
2.817,1.837
2.812,1.83
2.815,1.823
2.82,1.82
2.812,1.818
2.819,1.828
2.809,1.824
2.819,1.824
2.822,1.824
2.818,1.825
2.82,1.823
2.82,1.826
2.813,1.827
2.815,1.828
2.819,1.825
2.805,1.837
2.828,1.82
2.819,1.829
2.816,1.833
2.824,1.825
2.82,1.822
2.823,1.825
2.814,1.83
2.825,1.838
2.817,1.831
2.822,1.822
2.817,1.831
2.817,1.819
2.818,1.819
2.825,1.83
2.817,1.823
2.808,1.831
2.823,1.833
2.811,1.823
2.822,1.82
2.824,1.818
2.817,1.826
2.821,1.82
2.826,1.814
2.829,1.816
2.82,1.82
2.825,1.825
2.821,1.816
2.83,1.807
2.817,1.824
2.821,1.823
2.816,1.82
2.82,1.813
2.831,1.815
2.83,1.815
2.827,1.827
2.823,1.825
2.825,1.814
2.835,1.811
2.832,1.812
2.819,1.816
2.828,1.816
2.833,1.813
2.826,1.817
2.828,1.826
2.825,1.814
2.828,1.823
2.826,1.811
2.82,1.82
2.826,1.819
