bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.3,2.091,2.5,2.476,0.21037347741576135,3661.6453881280004
usafabot1,2,1.789,2.5,2.495,0.2110592333919557,3665.205508999
usafabot2,1.6,1.381,2.5,2.519,0.2198226557932554,3669.548752227
usafabot3,1.3,1.098,2.75,2.7648,0.2025414525473736,3672.99902001
usafabot4,1.3,1.131,2.25,2.38,0.2132158530691374,3668.449004221
usafabot5,1,0.88,2,2.173,0.21054453210663063,3666.165814024
usafabot6,1,0.8676,2.5,2.652,0.20157817342162826,3669.358520863
usafabot7,1,0.844,3,3.132,0.2043526363911169,3672.1441018089995
usafabot8,2,2.03,3,3.208,0.210152325706855,3651.1202041300003
usafabot9,2.3,2.319,3,3.206,0.2068743580050461,3651.2498262960003
usafabot10,2.6,2.616,3,3.204,0.2046264889988588,3651.308952291
usafabot11,3,3.017,3,3.224,0.22464416306683796,3652.0922787990003
usafabot12,3.3,3.3086,3,3.206,0.2061794364140129,3652.371186784
usafabot13,3.6,3.603,3,3.212,0.21202122535255777,3652.2664921170003
usafabot14,4,3.988,3,3.204,0.204352636391117,3652.1992285969995
usafabot15,4,4.186,2,2.127,0.225222112591104,3658.2646747979998
usafabot16,4,4.207,2.5,2.572,0.21916432191394644,3664.3210474650004
usafabot17,4.6,4.787,2,2.102,0.21300938946440853,3665.521544938
usafabot18,4.6,4.812,3,2.938,0.22088005795001106,3672.360275453
usafabot19,3.6,3.599,2,1.802,0.19800252523642214,3668.161037841
usafabot20,3.3,3.308,2.5,2.286,0.21414948050368926,3662.7874118249997
usafabot21,3.3,3.288,2,1.779,0.22132555207205523,3668.250905189
usafabot22,3,2.982,2.5,2.294,0.20678491240900523,3662.7055495229997
usafabot23,3,2.9562,2,1.7956,0.2090401875238347,3667.871711588
usafabot24,2,2.0429999999999997,2,1.7928,0.21161483879917306,3668.495533821
