x,y


0.816,4.991
0.612,5.018
0.783,4.739
0.707,4.236
0.979,4.132
1.236,3.607
1.455,3.324
1.822,3.022
1.996,2.751
1.806,2.538
1.857,2.548
1.834,2.546
1.85,2.526
1.848,2.54
1.849,2.532
1.864,2.505
1.926,2.543
1.922,2.547
1.929,2.542
1.925,2.528
1.924,2.551
1.921,2.538
1.917,2.538
1.922,2.548
1.923,2.539
1.91,2.539
1.923,2.543
1.919,2.548
1.913,2.549
1.907,2.547
1.917,2.543
1.922,2.545
1.921,2.547
1.92,2.544
1.914,2.551
1.91,2.548
1.916,2.537
1.925,2.542
1.931,2.554
1.907,2.535
1.882,2.525
1.958,2.512
1.956,2.546
1.963,2.535
1.947,2.513
1.927,2.525
1.903,2.603
1.944,2.514
