bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,3.309090909090909,3.3652,3.0,3.109,0.12259376037402821,27.740579770994373
usafabot1,3.009090909090909,3.0958,2.5,2.5608,0.10590139964269146,98.14909198100213
usafabot2,2.709090909090909,2.6992000000000003,2.5,2.4938,0.011673477744212454,16.300894213025458
usafabot3,2.709090909090909,2.7208,2.0,1.9422,0.05897408591845548,13.408864473982248
usafabot4,2.309090909090909,2.436,2.0,1.7788,0.25502030773130974,124.32274740902358
usafabot5,2.159090909090909,2.4512,2.5,2.8024,0.42044438513522275,161401.26674462
usafabot6,3.009090909090909,3.014,3.0,3.0276,0.02803317986875059,21.88513069000328
usafabot7,1.709090909090909,1.763,2.0,2.068,0.0867766678470926,20.08496134998859
usafabot8,1.859090909090909,1.9646,2.5,2.6374,0.17323662506659157,15.573214545001974
usafabot9,2.709090909090909,2.7152000000000003,3.0,3.081,0.08123004980754066,15.187912823981605
usafabot10,2.009090909090909,1.9292,3.0,2.985,0.08128688304623236,11.968120813980931
usafabot11,0.0,2.5662,0.0,5.0072,5.626493959829691,0
usafabot12,0.0,3.2332,0.0,4.8274,5.810109551462864,0
usafabot13,0.0,3.83,0.0,4.88,6.203490952681402,0
usafabot14,0.0,4.9946,0.0,5.2078,7.215761221104811,0
usafabot15,0.0,5.332,0.0,4.4536,6.9472855821536506,0
usafabot16,0.0,5.8654,0.0,3.6338,6.899813011959092,0
usafabot17,0.0,5.5548,0.0,2.862,6.248747637727099,0
usafabot18,0.0,5.5738,0.0,1.798,5.856624491974878,0
usafabot19,0.0,4.5484,0.0,-0.087,4.549231974740351,0
usafabot20,0.0,3.627,0.0,0.1184,3.6289320136921828,0
usafabot21,0.0,2.7936,0.0,0.3,2.809662072207261,0
usafabot22,0.0,2.3996,0.0,0.3572,2.4260403953767957,0
