x,y


-0.265,4.836
0.188,4.51
0.403,4.122
1.116,3.987
1.229,3.685
1.655,3.294
1.905,3.051
2.104,2.731
2.445,2.843
2.36,2.464
2.181,2.378
2.168,2.437
2.161,2.445
2.15,2.353
2.154,2.332
2.164,2.391
2.17,2.346
2.157,2.368
2.157,2.388
2.155,2.367
2.145,2.376
2.159,2.373
2.154,2.367
2.13,2.355
2.141,2.348
2.131,2.356
2.19,2.27
2.135,2.383
2.149,2.346
2.137,2.353
2.253,2.272
2.228,2.396
2.177,2.382
2.178,2.377
2.159,2.377
2.18,2.381
2.183,2.389
2.146,2.339
2.147,2.36
2.16,2.344
2.153,2.342
2.148,2.35
2.151,2.351
2.14,2.354
2.137,2.348
2.153,2.363
2.148,2.346
2.158,2.357
2.152,2.347
2.122,2.399
2.195,2.397
2.196,2.398
