x,y


-0.321,0.558
0.14,0.801
0.413,1.099
0.754,1.278
1.075,1.495
1.268,1.815
1.576,2.031
2.025,2.262
2.353,2.547
2.683,2.725
3.07,3.073
3.275,3.019
3.281,3.029
3.373,3.113
3.338,3.107
3.49,2.99
3.464,3.019
3.461,3.031
3.463,3.025
3.466,3.024
3.472,3.007
3.468,3.01
3.482,3.015
3.512,2.989
3.607,2.987
3.541,2.967
3.506,3.009
3.499,2.984
3.466,3.008
3.478,3.018
3.472,3.026
3.482,3.016
3.464,3.017
3.476,3.015
3.479,3.014
3.475,3.019
3.474,3.017
3.486,3.015
3.479,3.02
3.474,3.016
3.469,3.019
3.478,3.009
3.473,3.018
3.473,3.013
3.473,3.017
3.474,3.015
3.479,3.016
3.471,3.014
3.485,3.02
3.481,3.016
3.471,3.014
3.482,3.018
3.47,3.007
3.48,3.026
3.475,3.018
3.474,3.017
3.47,3.012
3.477,3.018
3.478,3.028
3.477,3.008
3.473,3.011
3.476,3.02
3.479,3.013
3.473,3.019
3.473,3.018
3.47,3.022
3.476,3.02
3.471,3.01
3.481,3.017
3.477,3.01
3.479,3.009
3.485,3.013
3.475,3.013
3.458,2.99
3.485,3.02
3.48,3.009
3.476,3.015
3.482,3.021
3.479,3.018
3.483,3.019
3.491,3.012
3.479,3.003
3.487,3.018
3.48,3.015
3.481,3.019
3.49,3.024
3.482,3.026
3.469,3.003
3.467,3.003
3.453,3.005
3.467,3.006
3.464,3.003
3.473,3.008
3.463,3.005
3.467,3.005
3.458,3.006
3.468,3.007
3.479,3.015
3.479,3.02
3.476,3.02
3.515,3.056
3.506,3.031
3.502,3.04
3.502,3.046
3.469,3.016
3.462,3.012
3.469,3.004
3.478,3.03
3.475,3.009
3.473,3.021
3.48,3.02
3.478,3.014
3.477,3.016
3.472,3.019
3.481,3.004
3.47,3.017
3.475,3.012
3.477,3.018
3.488,3.018
3.479,3.018
3.476,3.019
3.478,3.012
3.483,3.017
3.479,3.019
3.481,3.013
3.476,3.01
3.477,3.015
3.478,3.008
3.452,2.988
3.452,2.983
3.457,2.979
3.454,2.982
3.462,2.984
3.455,2.988
3.465,2.996
3.455,2.991
3.459,2.99
